Target,Wilcoxon statistic,Wilcoxon p-value,T-test statistic,T-test p-value
C. Lectora,206.00,0.00,5.47,0.00
Matemática,799.00,0.00,7.03,0.00
Historia,1809.00,0.00,8.06,0.00
Ciencias,3219.00,0.00,10.62,0.00
M2,5029.00,0.00,11.62,0.00
