Modelo,C._Lectora,Ciencias,Historia,M2,Matemática
AdaBoost,75.82,95.37,97.18,100.22,96.19
Bagging,73.08,92.86,90.00,98.72,91.74
Gradient Boosting,74.38,93.21,102.96,113.40,96.52
MLP (Neural Net),95.73,98.70,92.75,105.05,121.30
Random Forest,73.27,92.11,89.55,98.20,92.10
Regresión Bayesiana,70.46,99.30,88.76,94.74,87.69
Regresión Lineal,73.22,100.58,103.70,102.70,87.38
Ridge,70.62,99.40,91.09,92.90,87.18
