Target,Wilcoxon statistic,Wilcoxon p-value,T-test statistic,T-test p-value
C. Lectora,3.00,0.00,5.82,0.00
Matemática,26.00,0.00,6.97,0.00
Historia,26.00,0.00,8.16,0.00
Ciencias,26.00,0.00,10.69,0.00
M2,26.00,0.00,11.71,0.00
